country,year,stage2_market_score,score_breakdown,phase2_candidate_year,low_price_flags_count,physical_flags_count,capture_flags_count,active_flags,flag_h_negative_stage2,flag_h_below_5_stage2,flag_p10_price_below_0,flag_capture_pv_low,flag_capture_wind_low,flag_sr_high,flag_far_low,flag_ir_high,flag_spread_high,flag_capture_only_stage2,is_stage1_criteria,is_phase2_market,is_phase2_physical,phase_market,stress_phys_state
BE,2025,10,low=5;cap=2;phys=2;vol=1,True,2,1,2,"flag_h_negative_stage2,flag_h_below_5_stage2,flag_capture_pv_low,flag_capture_wind_low,flag_far_low,flag_spread_high",True,True,False,True,True,False,True,False,True,False,False,True,True,phase2,pas_de_surplus_structurel
BE,2026,8,low=3;cap=2;phys=2;vol=1,True,1,1,2,"flag_h_negative_stage2,flag_capture_pv_low,flag_capture_wind_low,flag_far_low,flag_spread_high",True,False,False,True,True,False,True,False,True,False,False,True,True,phase2,pas_de_surplus_structurel
BE,2027,8,low=3;cap=2;phys=2;vol=1,True,1,1,2,"flag_h_negative_stage2,flag_capture_pv_low,flag_capture_wind_low,flag_far_low,flag_spread_high",True,False,False,True,True,False,True,False,True,False,False,True,True,phase2,pas_de_surplus_structurel
BE,2028,7,low=2;cap=2;phys=2;vol=1,True,1,1,2,"flag_h_negative_stage2,flag_capture_pv_low,flag_capture_wind_low,flag_far_low,flag_spread_high",True,False,False,True,True,False,True,False,True,False,False,True,True,phase2,pas_de_surplus_structurel
BE,2029,7,low=2;cap=2;phys=2;vol=1,True,1,1,2,"flag_h_negative_stage2,flag_capture_pv_low,flag_capture_wind_low,flag_far_low,flag_spread_high",True,False,False,True,True,False,True,False,True,False,False,True,True,phase2,pas_de_surplus_structurel
BE,2030,7,low=2;cap=2;phys=2;vol=1,True,1,1,2,"flag_h_negative_stage2,flag_capture_pv_low,flag_capture_wind_low,flag_far_low,flag_spread_high",True,False,False,True,True,False,True,False,True,False,False,True,True,phase2,pas_de_surplus_structurel
BE,2031,3,low=0;cap=1;phys=2;vol=0,True,0,1,1,"flag_capture_pv_low,flag_far_low",False,False,False,True,False,False,True,False,False,False,False,True,True,phase2,pas_de_surplus_structurel
BE,2032,3,low=0;cap=1;phys=2;vol=0,True,0,1,1,"flag_capture_pv_low,flag_far_low",False,False,False,True,False,False,True,False,False,False,False,True,True,phase2,pas_de_surplus_structurel
BE,2033,3,low=0;cap=1;phys=2;vol=0,True,0,1,1,"flag_capture_pv_low,flag_far_low",False,False,False,True,False,False,True,False,False,False,False,True,True,phase2,pas_de_surplus_structurel
BE,2034,1,low=0;cap=1;phys=0;vol=0,False,0,0,1,flag_capture_pv_low,False,False,False,True,False,False,False,False,False,True,False,False,False,uncertain,pas_de_surplus_structurel
BE,2035,1,low=0;cap=1;phys=0;vol=0,False,0,0,1,flag_capture_pv_low,False,False,False,True,False,False,False,False,False,True,False,False,False,uncertain,pas_de_surplus_structurel
CZ,2025,7,low=2;cap=1;phys=4;vol=0,True,1,2,1,"flag_h_negative_stage2,flag_capture_pv_low,flag_far_low,flag_ir_high",True,False,False,True,False,False,True,True,False,False,False,True,True,phase2,pas_de_surplus_structurel
CZ,2026,5,low=0;cap=1;phys=4;vol=0,True,0,2,1,"flag_capture_pv_low,flag_far_low,flag_ir_high",False,False,False,True,False,False,True,True,False,False,False,True,True,phase2,pas_de_surplus_structurel
