category,file,rows
inputs,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\inputs\phase1_assumptions.csv,56
inputs,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\inputs\phase2_scenario_country_year.csv,160
inputs,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\inputs\annual_metrics_hist.csv,14
inputs,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\inputs\validation_findings_hist.csv,18
inputs,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\inputs\annual_metrics_scenarios.csv,192
inputs,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\inputs\test_registry.csv,24
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\checks_filtered.csv,14
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\warnings_filtered.csv,0
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\test_ledger.csv,13
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\comparison_hist_vs_scen.csv,6
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\hist\tables\Q1_before_after_bascule.csv,2
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\hist\tables\Q1_country_summary.csv,2
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\hist\tables\Q1_ir_diagnostics.csv,14
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\hist\tables\Q1_residual_diagnostics.csv,14
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\hist\tables\Q1_rule_application.csv,14
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\hist\tables\Q1_rule_definition.csv,1
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\hist\tables\Q1_scope_audit.csv,14
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\hist\tables\Q1_year_panel.csv,14
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\scen\BASE\tables\Q1_before_after_bascule.csv,2
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\scen\BASE\tables\Q1_country_summary.csv,2
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\scen\BASE\tables\Q1_ir_diagnostics.csv,22
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\scen\BASE\tables\Q1_residual_diagnostics.csv,22
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\scen\BASE\tables\Q1_rule_application.csv,22
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\scen\BASE\tables\Q1_rule_definition.csv,1
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\scen\BASE\tables\Q1_scope_audit.csv,22
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\scen\BASE\tables\Q1_year_panel.csv,22
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\scen\BASE\checks_filtered.csv,0
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\scen\DEMAND_UP\tables\Q1_before_after_bascule.csv,2
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\scen\DEMAND_UP\tables\Q1_country_summary.csv,2
Q1,reports\chatgpt52_structured_FULL_20260212_FIX3_DE_ES\questions\Q1\scen\DEMAND_UP\tables\Q1_ir_diagnostics.csv,22
