category,file,rows
inputs,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\inputs\phase1_assumptions.csv,44
inputs,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\inputs\phase2_scenario_country_year.csv,672
inputs,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\inputs\annual_metrics_hist.csv,49
inputs,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\inputs\validation_findings_hist.csv,60
inputs,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\inputs\annual_metrics_scenarios.csv,504
inputs,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\inputs\test_registry.csv,24
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\checks_filtered.csv,346
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\warnings_filtered.csv,0
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\test_ledger.csv,16
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\comparison_hist_vs_scen.csv,28
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\hist\tables\Q1_before_after_bascule.csv,7
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\hist\tables\Q1_country_summary.csv,7
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\hist\tables\Q1_ir_diagnostics.csv,49
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\hist\tables\Q1_rule_application.csv,49
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\hist\tables\Q1_rule_definition.csv,1
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\hist\tables\Q1_scope_audit.csv,49
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\hist\tables\Q1_year_panel.csv,49
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\BASE\tables\Q1_before_after_bascule.csv,7
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\BASE\tables\Q1_country_summary.csv,7
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\BASE\tables\Q1_ir_diagnostics.csv,77
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\BASE\tables\Q1_rule_application.csv,77
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\BASE\tables\Q1_rule_definition.csv,1
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\BASE\tables\Q1_scope_audit.csv,77
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\BASE\tables\Q1_year_panel.csv,77
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\BASE\checks_filtered.csv,66
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\DEMAND_UP\tables\Q1_before_after_bascule.csv,7
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\DEMAND_UP\tables\Q1_country_summary.csv,7
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\DEMAND_UP\tables\Q1_ir_diagnostics.csv,77
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\DEMAND_UP\tables\Q1_rule_application.csv,77
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\DEMAND_UP\tables\Q1_rule_definition.csv,1
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\DEMAND_UP\tables\Q1_scope_audit.csv,77
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\DEMAND_UP\tables\Q1_year_panel.csv,77
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\DEMAND_UP\checks_filtered.csv,73
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\FLEX_UP\tables\Q1_before_after_bascule.csv,7
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\FLEX_UP\tables\Q1_country_summary.csv,7
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\FLEX_UP\tables\Q1_ir_diagnostics.csv,77
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\FLEX_UP\tables\Q1_rule_application.csv,77
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\FLEX_UP\tables\Q1_rule_definition.csv,1
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\FLEX_UP\tables\Q1_scope_audit.csv,77
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\FLEX_UP\tables\Q1_year_panel.csv,77
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\FLEX_UP\checks_filtered.csv,69
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\LOW_RIGIDITY\tables\Q1_before_after_bascule.csv,7
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\LOW_RIGIDITY\tables\Q1_country_summary.csv,7
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\LOW_RIGIDITY\tables\Q1_ir_diagnostics.csv,77
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\LOW_RIGIDITY\tables\Q1_rule_application.csv,77
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\LOW_RIGIDITY\tables\Q1_rule_definition.csv,1
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\LOW_RIGIDITY\tables\Q1_scope_audit.csv,77
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\LOW_RIGIDITY\tables\Q1_year_panel.csv,77
Q1,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q1\scen\LOW_RIGIDITY\checks_filtered.csv,77
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\checks_filtered.csv,59
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\warnings_filtered.csv,1
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\test_ledger.csv,9
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\comparison_hist_vs_scen.csv,42
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\hist\tables\Q2_country_slopes.csv,14
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\hist\tables\Q2_driver_correlations.csv,8
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\hist\tables\Q2_driver_diagnostics.csv,56
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\scen\BASE\tables\Q2_country_slopes.csv,14
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\scen\BASE\tables\Q2_driver_correlations.csv,8
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\scen\BASE\tables\Q2_driver_diagnostics.csv,56
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\scen\BASE\checks_filtered.csv,10
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\scen\HIGH_CO2\tables\Q2_country_slopes.csv,14
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\scen\HIGH_CO2\tables\Q2_driver_correlations.csv,8
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\scen\HIGH_CO2\tables\Q2_driver_diagnostics.csv,56
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\scen\HIGH_CO2\checks_filtered.csv,11
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\scen\HIGH_GAS\tables\Q2_country_slopes.csv,14
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\scen\HIGH_GAS\tables\Q2_driver_correlations.csv,8
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\scen\HIGH_GAS\tables\Q2_driver_diagnostics.csv,56
Q2,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q2\scen\HIGH_GAS\checks_filtered.csv,11
Q3,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q3\checks_filtered.csv,104
Q3,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q3\warnings_filtered.csv,0
Q3,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q3\test_ledger.csv,10
Q3,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q3\comparison_hist_vs_scen.csv,56
Q3,reports\chatgpt52_structured_FULL_20260211_062013_BE_CZ_DE_ES_FR_IT_NORD_NL\questions\Q3\hist\tables\Q3_status.csv,7
