run_id,question_id,test_id,source_ref,mode,scenario_id,status,value,threshold,interpretation,evidence_ref
FULL_20260210_152450,Q1,Q1-H-01,SPEC2-Q1/Slides 2-4,HIST,nan,PASS,4.1020408163265305,score present,Le score de bascule marche est exploitable.,outputs\combined\FULL_20260210_152450\Q1\test_ledger.csv#test_id=Q1-H-01
FULL_20260210_152450,Q1,Q1-H-02,SPEC2-Q1/Slides 3-4,HIST,nan,PASS,"far_energy,ir_p10,sr_energy",SR/FAR/IR presents,Le stress physique est calculable.,outputs\combined\FULL_20260210_152450\Q1\test_ledger.csv#test_id=Q1-H-02
FULL_20260210_152450,Q1,Q1-H-03,SPEC2-Q1,HIST,nan,PASS,strict=42.86%; concordant_ou_explique=100.00%,concordant_ou_explique >= 80%,Concordance satisfaisante en comptant les divergences expliquees (pas de stress physique structurel).,outputs\combined\FULL_20260210_152450\Q1\test_ledger.csv#test_id=Q1-H-03
FULL_20260210_152450,Q1,Q1-H-04,Slides 4-6,HIST,nan,PASS,0.914,confidence moyenne >=0.60,Proxy de robustesse du diagnostic de bascule.,outputs\combined\FULL_20260210_152450\Q1\test_ledger.csv#test_id=Q1-H-04
FULL_20260210_152450,Q1,Q1-S-01,SPEC2-Q1/Slides 5,SCEN,BASE,PASS,7,>0 lignes,La bascule projetee est produite.,outputs\combined\FULL_20260210_152450\Q1\test_ledger.csv#test_id=Q1-S-01
FULL_20260210_152450,Q1,Q1-S-01,SPEC2-Q1/Slides 5,SCEN,DEMAND_UP,PASS,7,>0 lignes,La bascule projetee est produite.,outputs\combined\FULL_20260210_152450\Q1\test_ledger.csv#test_id=Q1-S-01
FULL_20260210_152450,Q1,Q1-S-01,SPEC2-Q1/Slides 5,SCEN,FLEX_UP,PASS,7,>0 lignes,La bascule projetee est produite.,outputs\combined\FULL_20260210_152450\Q1\test_ledger.csv#test_id=Q1-S-01
FULL_20260210_152450,Q1,Q1-S-01,SPEC2-Q1/Slides 5,SCEN,LOW_RIGIDITY,PASS,7,>0 lignes,La bascule projetee est produite.,outputs\combined\FULL_20260210_152450\Q1\test_ledger.csv#test_id=Q1-S-01
FULL_20260210_152450,Q1,Q1-S-02,SPEC2-Q1/Slides 5,SCEN,BASE,PASS,4,>=1 bascule,Le scenario fournit une variation exploitable.,outputs\combined\FULL_20260210_152450\Q1\test_ledger.csv#test_id=Q1-S-02
FULL_20260210_152450,Q1,Q1-S-02,SPEC2-Q1/Slides 5,SCEN,DEMAND_UP,PASS,4,>=1 bascule,Le scenario fournit une variation exploitable.,outputs\combined\FULL_20260210_152450\Q1\test_ledger.csv#test_id=Q1-S-02
