category,file,rows
inputs,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\inputs\phase1_assumptions.csv,39
inputs,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\inputs\phase2_scenario_country_year.csv,24
inputs,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\inputs\annual_metrics_hist.csv,14
inputs,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\inputs\validation_findings_hist.csv,14
inputs,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\inputs\annual_metrics_scenarios.csv,24
inputs,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\inputs\test_registry.csv,24
Q1,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q1\checks_filtered.csv,18
Q1,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q1\warnings_filtered.csv,0
Q1,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q1\test_ledger.csv,16
Q1,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q1\comparison_hist_vs_scen.csv,8
Q1,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q1\hist\tables\Q1_country_summary.csv,2
Q1,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q1\hist\tables\Q1_year_panel.csv,14
Q1,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q1\scen\BASE\tables\Q1_country_summary.csv,2
Q1,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q1\scen\BASE\tables\Q1_year_panel.csv,4
Q1,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q1\scen\BASE\checks_filtered.csv,3
Q1,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q1\scen\DEMAND_UP\tables\Q1_country_summary.csv,2
Q1,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q1\scen\DEMAND_UP\tables\Q1_year_panel.csv,4
Q1,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q1\scen\DEMAND_UP\checks_filtered.csv,3
Q1,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q1\scen\FLEX_UP\tables\Q1_country_summary.csv,2
Q1,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q1\scen\FLEX_UP\tables\Q1_year_panel.csv,4
Q1,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q1\scen\FLEX_UP\checks_filtered.csv,3
Q1,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q1\scen\LOW_RIGIDITY\tables\Q1_country_summary.csv,2
Q1,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q1\scen\LOW_RIGIDITY\tables\Q1_year_panel.csv,4
Q1,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q1\scen\LOW_RIGIDITY\checks_filtered.csv,3
Q2,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q2\checks_filtered.csv,12
Q2,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q2\warnings_filtered.csv,3
Q2,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q2\test_ledger.csv,9
Q2,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q2\comparison_hist_vs_scen.csv,12
Q2,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q2\hist\tables\Q2_country_slopes.csv,4
Q2,reports\chatgpt52_structured_FULL_20260210_172152_DE_ES\questions\Q2\hist\tables\Q2_driver_correlations.csv,6
