status,code,message,scope,scenario_id,question_id,mentioned_countries,is_global
PASS,TEST_Q4_001,"Invariants physiques batterie (SOC, puissance, energie) valides.",HIST,,Q4,,True
PASS,TEST_Q4_002,Monotonicite respectee (augmentation bess_power/energy ne degrade pas le surplus).,HIST,,Q4,,True
INFO,Q4_CACHE_HIT,Resultat charge depuis cache persistant Q4.,HIST,,Q4,,True
WARN,Q4_OBJECTIVE_UNREACHABLE,Objectif non atteint sous les contraintes de policy actuelles.,HIST,,Q4,,True
PASS,TEST_Q4_001,"Invariants physiques batterie (SOC, puissance, energie) valides.",HIST,,Q4,,True
PASS,TEST_Q4_002,Monotonicite respectee (augmentation bess_power/energy ne degrade pas le surplus).,HIST,,Q4,,True
INFO,Q4_CACHE_HIT,Resultat charge depuis cache persistant Q4.,HIST,,Q4,,True
PASS,TEST_Q4_001,"Invariants physiques batterie (SOC, puissance, energie) valides.",HIST,,Q4,,True
PASS,TEST_Q4_002,Monotonicite respectee (augmentation bess_power/energy ne degrade pas le surplus).,HIST,,Q4,,True
INFO,Q4_CACHE_HIT,Resultat charge depuis cache persistant Q4.,HIST,,Q4,,True
PASS,TEST_Q4_001,"Invariants physiques batterie (SOC, puissance, energie) valides.",HIST,,Q4,,True
PASS,TEST_Q4_002,Monotonicite respectee (augmentation bess_power/energy ne degrade pas le surplus).,HIST,,Q4,,True
INFO,Q4_CACHE_HIT,Resultat charge depuis cache persistant Q4.,HIST,,Q4,,True
WARN,Q4_OBJECTIVE_NOT_REACHED_GRID,Objectif non atteint sur la grille courante; augmenter les bornes de recherche.,HIST,,Q4,,True
PASS,TEST_Q4_001,"Invariants physiques batterie (SOC, puissance, energie) valides.",HIST,,Q4,,True
PASS,TEST_Q4_002,Monotonicite respectee (augmentation bess_power/energy ne degrade pas le surplus).,HIST,,Q4,,True
INFO,Q4_CACHE_HIT,Resultat charge depuis cache persistant Q4.,HIST,,Q4,,True
PASS,TEST_Q4_001,"Invariants physiques batterie (SOC, puissance, energie) valides.",HIST,,Q4,,True
PASS,TEST_Q4_002,Monotonicite respectee (augmentation bess_power/energy ne degrade pas le surplus).,HIST,,Q4,,True
INFO,Q4_CACHE_HIT,Resultat charge depuis cache persistant Q4.,HIST,,Q4,,True
WARN,Q4_BESS_INEFFECTIVE,h_negative>0 mais aucun point de frontier ne reduit h_negative.,HIST,,Q4,,True
WARN,Q4_OBJECTIVE_UNREACHABLE,Objectif non atteint sous les contraintes de policy actuelles.,HIST,,Q4,,True
PASS,TEST_Q4_001,"Invariants physiques batterie (SOC, puissance, energie) valides.",HIST,,Q4,,True
PASS,TEST_Q4_002,Monotonicite respectee (augmentation bess_power/energy ne degrade pas le surplus).,HIST,,Q4,,True
INFO,Q4_CACHE_HIT,Resultat charge depuis cache persistant Q4.,HIST,,Q4,,True
PASS,TEST_Q4_001,"Invariants physiques batterie (SOC, puissance, energie) valides.",SCEN,HIGH_CO2,Q4,,True
PASS,TEST_Q4_002,Monotonicite respectee (augmentation bess_power/energy ne degrade pas le surplus).,SCEN,HIGH_CO2,Q4,,True
INFO,Q4_CACHE_HIT,Resultat charge depuis cache persistant Q4.,SCEN,HIGH_CO2,Q4,,True
PASS,TEST_Q4_001,"Invariants physiques batterie (SOC, puissance, energie) valides.",SCEN,HIGH_CO2,Q4,,True
PASS,TEST_Q4_002,Monotonicite respectee (augmentation bess_power/energy ne degrade pas le surplus).,SCEN,HIGH_CO2,Q4,,True
INFO,Q4_CACHE_HIT,Resultat charge depuis cache persistant Q4.,SCEN,HIGH_CO2,Q4,,True
PASS,TEST_Q4_001,"Invariants physiques batterie (SOC, puissance, energie) valides.",SCEN,HIGH_CO2,Q4,,True
PASS,TEST_Q4_002,Monotonicite respectee (augmentation bess_power/energy ne degrade pas le surplus).,SCEN,HIGH_CO2,Q4,,True
INFO,Q4_CACHE_HIT,Resultat charge depuis cache persistant Q4.,SCEN,HIGH_CO2,Q4,,True
PASS,TEST_Q4_001,"Invariants physiques batterie (SOC, puissance, energie) valides.",SCEN,HIGH_CO2,Q4,,True
PASS,TEST_Q4_002,Monotonicite respectee (augmentation bess_power/energy ne degrade pas le surplus).,SCEN,HIGH_CO2,Q4,,True
INFO,Q4_CACHE_HIT,Resultat charge depuis cache persistant Q4.,SCEN,HIGH_CO2,Q4,,True
PASS,TEST_Q4_001,"Invariants physiques batterie (SOC, puissance, energie) valides.",SCEN,HIGH_CO2,Q4,,True
PASS,TEST_Q4_002,Monotonicite respectee (augmentation bess_power/energy ne degrade pas le surplus).,SCEN,HIGH_CO2,Q4,,True
INFO,Q4_CACHE_HIT,Resultat charge depuis cache persistant Q4.,SCEN,HIGH_CO2,Q4,,True
PASS,TEST_Q4_001,"Invariants physiques batterie (SOC, puissance, energie) valides.",SCEN,HIGH_CO2,Q4,,True
PASS,TEST_Q4_002,Monotonicite respectee (augmentation bess_power/energy ne degrade pas le surplus).,SCEN,HIGH_CO2,Q4,,True
INFO,Q4_CACHE_HIT,Resultat charge depuis cache persistant Q4.,SCEN,HIGH_CO2,Q4,,True
PASS,TEST_Q4_001,"Invariants physiques batterie (SOC, puissance, energie) valides.",SCEN,HIGH_CO2,Q4,,True
PASS,TEST_Q4_002,Monotonicite respectee (augmentation bess_power/energy ne degrade pas le surplus).,SCEN,HIGH_CO2,Q4,,True
INFO,Q4_CACHE_HIT,Resultat charge depuis cache persistant Q4.,SCEN,HIGH_CO2,Q4,,True
PASS,TEST_Q4_001,"Invariants physiques batterie (SOC, puissance, energie) valides.",SCEN,HIGH_GAS,Q4,,True
PASS,TEST_Q4_002,Monotonicite respectee (augmentation bess_power/energy ne degrade pas le surplus).,SCEN,HIGH_GAS,Q4,,True
INFO,Q4_CACHE_HIT,Resultat charge depuis cache persistant Q4.,SCEN,HIGH_GAS,Q4,,True
PASS,TEST_Q4_001,"Invariants physiques batterie (SOC, puissance, energie) valides.",SCEN,HIGH_GAS,Q4,,True
PASS,TEST_Q4_002,Monotonicite respectee (augmentation bess_power/energy ne degrade pas le surplus).,SCEN,HIGH_GAS,Q4,,True
