run_id,question_id,test_id,source_ref,mode,scenario_id,status,value,threshold,interpretation,evidence_ref
FULL_20260212_FIX4,Q1,Q1-H-01,SPEC2-Q1/Slides 2-4,HIST,nan,PASS,1.2244897959183674,score present,Le score de bascule marche est exploitable.,outputs\combined\FULL_20260212_FIX4\Q1\test_ledger.csv#test_id=Q1-H-01
FULL_20260212_FIX4,Q1,Q1-H-02,SPEC2-Q1/Slides 3-4,HIST,nan,PASS,"far_energy,ir_p10,sr_energy",SR/FAR/IR presents,Le stress physique est calculable.,outputs\combined\FULL_20260212_FIX4\Q1\test_ledger.csv#test_id=Q1-H-02
FULL_20260212_FIX4,Q1,Q1-H-03,SPEC2-Q1,HIST,nan,PASS,strict=14.29%; concordant_ou_explique=100.00%; n=7; explained=7; reasons=physical_not_reached_but_explained:3;physical_already_phase2_window_start:2;both_not_reached_in_window:1;strict_equal_year:1,concordant_ou_explique >= 80%,Concordance satisfaisante en comptant les divergences expliquees.,outputs\combined\FULL_20260212_FIX4\Q1\test_ledger.csv#test_id=Q1-H-03
FULL_20260212_FIX4,Q1,Q1-H-04,Slides 4-6,HIST,nan,WARN,0.486,confidence moyenne >=0.60,Proxy de robustesse du diagnostic de bascule.,outputs\combined\FULL_20260212_FIX4\Q1\test_ledger.csv#test_id=Q1-H-04
FULL_20260212_FIX4,Q1,Q1-S-01,SPEC2-Q1/Slides 5,SCEN,DEMAND_UP,PASS,7,>0 lignes,La bascule projetee est produite.,outputs\combined\FULL_20260212_FIX4\Q1\test_ledger.csv#test_id=Q1-S-01
FULL_20260212_FIX4,Q1,Q1-S-01,SPEC2-Q1/Slides 5,SCEN,LOW_RIGIDITY,PASS,7,>0 lignes,La bascule projetee est produite.,outputs\combined\FULL_20260212_FIX4\Q1\test_ledger.csv#test_id=Q1-S-01
FULL_20260212_FIX4,Q1,Q1-S-02,SPEC2-Q1/Slides 5,SCEN,DEMAND_UP,NON_TESTABLE,nan,delta vs BASE disponible,Impossible d'evaluer la sensibilite sans BASE et scenario courant.,outputs\combined\FULL_20260212_FIX4\Q1\test_ledger.csv#test_id=Q1-S-02
FULL_20260212_FIX4,Q1,Q1-S-02,SPEC2-Q1/Slides 5,SCEN,LOW_RIGIDITY,NON_TESTABLE,nan,delta vs BASE disponible,Impossible d'evaluer la sensibilite sans BASE et scenario courant.,outputs\combined\FULL_20260212_FIX4\Q1\test_ledger.csv#test_id=Q1-S-02
FULL_20260212_FIX4,Q1,Q1-S-03,SPEC2-Q1,SCEN,DEMAND_UP,PASS,100.00%,>=50% lignes >=0.55,La coherence scenario est lisible.,outputs\combined\FULL_20260212_FIX4\Q1\test_ledger.csv#test_id=Q1-S-03
FULL_20260212_FIX4,Q1,Q1-S-03,SPEC2-Q1,SCEN,LOW_RIGIDITY,PASS,100.00%,>=50% lignes >=0.55,La coherence scenario est lisible.,outputs\combined\FULL_20260212_FIX4\Q1\test_ledger.csv#test_id=Q1-S-03
