country,scenario_id,metric,hist_value,scen_value,delta,hist_status,scen_status,interpretability_status,interpretability_reason
BE,BASE,inversion_k_demand,,,,degradation,amelioration,NON_TESTABLE,delta_non_interpretable_nan
BE,BASE,inversion_r_mustrun,,,,degradation,amelioration,NON_TESTABLE,delta_non_interpretable_nan
CZ,BASE,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
CZ,BASE,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
DE,BASE,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
DE,BASE,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
ES,BASE,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
ES,BASE,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
FR,BASE,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
FR,BASE,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
IT_NORD,BASE,inversion_k_demand,,,,hors_scope_stage2,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
IT_NORD,BASE,inversion_r_mustrun,,,,hors_scope_stage2,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
NL,BASE,inversion_k_demand,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
NL,BASE,inversion_r_mustrun,,,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
BE,DEMAND_UP,inversion_k_demand,,0.0,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
BE,DEMAND_UP,inversion_r_mustrun,,0.0,,degradation,hors_scope_stage2,NON_TESTABLE,scenario_hors_scope_stage2
