country,scenario_id,metric,hist_value,scen_value,delta,scen_status,interpretability_status,interpretability_reason
DE,BASE,ttl_obs,288.6709999999999,219.15565729933,-69.51534270066992,,INFORMATIVE,delta_interpretable
DE,BASE,tca_q95,438.6194473684211,229.0263157894737,-209.5931315789474,,INFORMATIVE,delta_interpretable
DE,BASE,co2_required_base_non_negative,0.0,44.07873966643583,44.07873966643583,,INFORMATIVE,delta_interpretable
ES,BASE,ttl_obs,216.0,170.38790045594791,-45.612099544052086,,INFORMATIVE,delta_interpretable
ES,BASE,tca_q95,288.85923636363634,130.67272727272726,-158.18650909090908,,INFORMATIVE,delta_interpretable
ES,BASE,co2_required_base_non_negative,0.0,81.71611261994379,81.71611261994379,,INFORMATIVE,delta_interpretable
DE,HIGH_CO2,ttl_obs,288.6709999999999,236.4299994045931,-52.24100059540677,,INFORMATIVE,delta_interpretable
DE,HIGH_CO2,tca_q95,438.6194473684211,278.38157894736844,-160.23786842105267,,INFORMATIVE,delta_interpretable
DE,HIGH_CO2,co2_required_base_non_negative,0.0,79.82873966643585,79.82873966643585,,INFORMATIVE,delta_interpretable
ES,HIGH_CO2,ttl_obs,216.0,177.44541899020564,-38.55458100979436,,INFORMATIVE,delta_interpretable
ES,HIGH_CO2,tca_q95,288.85923636363634,150.87272727272727,-137.98650909090907,,INFORMATIVE,delta_interpretable
ES,HIGH_CO2,co2_required_base_non_negative,0.0,117.50009680884608,117.50009680884608,,INFORMATIVE,delta_interpretable
DE,HIGH_GAS,ttl_obs,288.6709999999999,241.2609204572247,-47.41007954277518,,INFORMATIVE,delta_interpretable
DE,HIGH_GAS,tca_q95,438.6194473684211,292.1842105263158,-146.43523684210533,,INFORMATIVE,delta_interpretable
DE,HIGH_GAS,co2_required_base_non_negative,0.0,19.44530858139184,19.44530858139184,,INFORMATIVE,delta_interpretable
ES,HIGH_GAS,ttl_obs,216.0,185.6481462629329,-30.351853737067103,,INFORMATIVE,delta_interpretable
ES,HIGH_GAS,tca_q95,288.85923636363634,174.3090909090909,-114.55014545454544,,INFORMATIVE,delta_interpretable
ES,HIGH_GAS,co2_required_base_non_negative,0.0,40.1659383930045,40.1659383930045,,INFORMATIVE,delta_interpretable
DE,HIGH_BOTH,ttl_obs,288.6709999999999,219.15565729933,-69.51534270066992,,INFORMATIVE,delta_interpretable
DE,HIGH_BOTH,tca_q95,438.6194473684211,341.5394736842105,-97.0799736842106,,INFORMATIVE,delta_interpretable
DE,HIGH_BOTH,co2_required_base_non_negative,0.0,99.07873966643584,99.07873966643584,,INFORMATIVE,delta_interpretable
ES,HIGH_BOTH,ttl_obs,216.0,170.38790045594791,-45.612099544052086,,INFORMATIVE,delta_interpretable
ES,HIGH_BOTH,tca_q95,288.85923636363634,194.5090909090909,-94.35014545454544,,INFORMATIVE,delta_interpretable
ES,HIGH_BOTH,co2_required_base_non_negative,0.0,136.7161126199438,136.7161126199438,,INFORMATIVE,delta_interpretable
